antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04471800025122472,0.04999371938198719,0.03014696646149981,0.6741573033707865,13.484839929987013,1.0,0.02791134730561645,2.9155365163794187,0.9691825553364014,0.46692607003891046,0.6570099553265677,0.6385861893738354
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.04999371938198719,0.04471800025122472,0.03014696646149981,0.6030150753768844,13.484839929987013,1.0,0.02791134730561645,2.4063432651899523,0.974564767067742,0.46692607003891046,0.5844316916601415,0.6385861893738354
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03303605074739354,0.04999371938198719,0.021982163044843614,0.6653992395437264,13.309656648260315,1.0,0.020330567994289332,2.839223315937926,0.9564643877816129,0.360082304526749,0.6477910017199002,0.552548866003019
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.04999371938198719,0.03303605074739354,0.021982163044843614,0.4396984924623116,13.309656648260315,1.0,0.020330567994289332,1.7257921605494948,0.9735373340133356,0.360082304526749,0.42055594940146307,0.552548866003019
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.031654314784574804,0.03818615751789976,0.021479713603818614,0.6785714285714285,17.77008928571428,1.0,0.020270956953333658,2.9923097321665333,0.9745751718770269,0.4441558441558442,0.6658099964551577,0.6205357142857142
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.03818615751789976,0.031654314784574804,0.021479713603818614,0.5624999999999999,17.77008928571428,1.0,0.020270956953333658,2.2133615662066854,0.9811936789865483,0.4441558441558442,0.5481985341808275,0.6205357142857142
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.02914206757944982,0.03579952267303103,0.021228488883306116,0.728448275862069,20.347988505747125,1.0,0.0201852167742566,3.5507065196802667,0.979396739092988,0.48563218390804586,0.7183659098668488,0.66071536600121
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.03579952267303103,0.02914206757944982,0.021228488883306116,0.5929824561403508,20.347988505747125,1.0,0.0201852167742566,2.3852975063780755,0.9861591188704669,0.48563218390804586,0.5807650838832104,0.66071536600121
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03818615751789976,0.03027257882175606,0.025122472051249845,0.6578947368421053,21.73236514522822,1.0,0.02396647858788923,2.8345878465210212,0.9918610421836227,0.5797101449275363,0.6472150259067359,0.7438851277571523
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03027257882175606,0.03818615751789976,0.025122472051249845,0.8298755186721992,21.732365145228215,1.0,0.02396647858788923,5.6535886838582,0.9837668393782383,0.5797101449275363,0.8231211968328821,0.7438851277571523
